ID,Ilce_Adi,Mahalle_Adi,Bufe_Adi,Enlem,Boylam
321,FATİH,ATİKALİ,Çarşamba Durak Büfe,41.0250435659291,28.9482875964991
322,SARIYER,FATİH SULTAN MEHMET,Büyükarmutlu,41.092875126127,29.0321152133121
323,ESENYURT,AŞIK VEYSEL,Esenkent Büfe,41.0596539985213,28.6755270000268
324,EYÜPSULTAN,DEFTERDAR,Şehitlik Büfe,41.0341685481146,28.9294532014409
325,BAŞAKŞEHİR,BAŞAK,Yeşilvadi Büfe,41.1095119978385,28.803061000297
326,GÜNGÖREN,ABDURRAHMAN NAFİZ GÜRMAN,Merter Metro Büfe,41.0073859985665,28.8965150001808
327,BAĞCILAR,15 TEMMUZ,Ahi Evren Okulu Büfe,41.042584998161,28.8200179996144
328,KÜÇÜKÇEKMECE,YEŞİLOVA,Toksöz,40.9922612789482,28.7892820329899
329,SARIYER,KOCATAŞ,Kocataş,41.1686391774626,29.0360001857903
330,PENDİK,ÇINARDERE,Üç Evler Büfe,40.8967579981729,29.2519719994997
331,KARTAL,HÜRRİYET,Hürriyet Merkez,40.9003209985083,29.2270780001769
332,SULTANGAZİ,UĞUR MUMCU,Uğurmumcu 3 Büfe,41.102102997844,28.8642180005351
333,ÇEKMEKÖY,HAMİDİYE,Said-i Nursi Büfe,41.0235859986061,29.1845179995472
334,ATAŞEHİR,İNÖNÜ,Kayışdağı Kar Büfe,40.9783139977333,29.1420470002394
335,SANCAKTEPE,VEYSEL KARANİ,Veysel Karani 2,40.9630109979533,29.2395880003887
336,KÜÇÜKÇEKMECE,MEHMET AKİF,Mehmet Akif Büfe,41.0508951040983,28.8040878649884
337,ZEYTİNBURNU,TELSİZ,Telsiz 1 Büfe,40.9999413031466,28.909803400658
338,ESENLER,FATİH,Yetmişiki Büfe,41.0406359982632,28.8693680000178
339,ÜMRANİYE,AŞAĞI DUDULLU,Dudullu Cami,41.0218319984394,29.1634909999584
340,KÜÇÜKÇEKMECE,SULTAN MURAT,Yurtaslan,41.0053573631799,28.7856961408149
341,ÜMRANİYE,ATATÜRK,Tanzim Büfe,41.0259192504743,29.0870594348502
342,FATİH,SÜMBÜL EFENDİ,Sümbülefendi Büfe,41.0032800518407,28.927582810016
343,KAĞITHANE,YAHYA KEMAL,Yahya Kemal Büfe,41.0850461403056,28.9875782216249
344,BAHÇELİEVLER,ŞİRİNEVLER,Şirinevler 2 Büfe,40.9971780225383,28.8454412600804
345,BEYKOZ,GÖKSU,Göksu Büfe,41.0792829981147,29.0745720001609
346,KÜÇÜKÇEKMECE,FATİH,K.çekmece Metrobüs Büfe,40.9868369979113,28.7699360004958
347,KAĞITHANE,TELSİZLER,Gültepe Büfe,41.0788160054516,28.9965300019422
348,ESENYURT,BARBAROS HAYRETTİN PAŞA,Güzelyurt 3 Büfe,41.0181159977375,28.6419909997697
349,KÜÇÜKÇEKMECE,İNÖNÜ,İnönü 2,41.02545400248,28.7982582210764
350,GAZİOSMANPAŞA,YENİDOĞAN,Yenidoğan Büfe,41.0585158060861,28.9234480523382
351,KADIKÖY,FENERYOLU,Kuyubaşı Büfe,40.9859629982902,29.0481600003541
352,BEYLİKDÜZÜ,ADNAN KAHVECİ,Adnan Kahveci 4 Büfe,40.9976699979908,28.6355809996137
353,BAYRAMPAŞA,YENİDOĞAN,Vatan Büfe,41.0372334630364,28.9158865197177
354,ESENYURT,CUMHURİYET,İnnovya 1 Büfe,41.0174699982255,28.6487740001549
355,KADIKÖY,HASANPAŞA,Salı Pazarı Büfe,40.9988089980017,29.055673999761
356,ÜSKÜDAR,BULGURLU,Bulgurlu Metro Büfe,41.0163408193124,29.0760475109403
357,ÜSKÜDAR,MİMAR SİNAN,Mimar Sinan 2 Büfe,41.0247821388674,29.0159276559763
358,KADIKÖY,KOZYATAĞI,Suadiye Büfe,40.9635659981821,29.0896449997008
359,ÜSKÜDAR,YAVUZTÜRK,Yavuztürk,41.0412204590119,29.0857453485381
360,SULTANGAZİ,İSMETPAŞA,İsmetpaşa 1,41.1120230955555,28.853518771815
361,ÜSKÜDAR,KÜÇÜKÇAMLICA,Emniyet Büfe,41.0135219977372,29.0634849995987
362,MALTEPE,ALTINTEPE,Altıntepe Büfe,40.9548209983407,29.1055320002968
363,KÜÇÜKÇEKMECE,YEŞİLOVA,Kazım Karabekir Büfe,40.9961189979404,28.7870149998272
364,KADIKÖY,BOSTANCI,Bostancı İskele,40.9528309977335,29.0934199999191
365,PENDİK,DOĞU,Pendik Mostar Büfe,40.8806089980507,29.2414790002977
366,SULTANGAZİ,MALKOÇOĞLU,Malkoçoğlu,41.1148431529372,28.8476813564658
367,GAZİOSMANPAŞA,KAZIM KARABEKİR,Prof Yaşargil Büfe,41.0773159980982,28.9081740004194
368,PENDİK,SAPAN BAĞLARI,Bosna Parkı Büfe,40.8879709981423,29.2219370003939
369,SULTANGAZİ,ESENTEPE,Esentepe 1,41.0978427062187,28.879736585431
370,BAĞCILAR,YILDIZTEPE,Yıldıztepe Büfe,41.0205979984576,28.8581760002355
371,ARNAVUTKÖY,YUNUS EMRE,Boğazköy Coşkun Büfe,41.1866376220075,28.7623244871977
372,FATİH,ŞEHREMİNİ,Şehremini İç Büfe,41.0145389981944,28.9288440000947
373,ESENLER,NİNE HATUN,Dörtyol Büfe,41.0361869981215,28.883228999875
374,BAŞAKŞEHİR,GÜVERCİNTEPE,Bayramtepe Büfe,41.0735379982388,28.750691000292
375,SULTANGAZİ,ZÜBEYDE HANIM,Gazi 5,41.1006571843361,28.912362529683
376,ÜMRANİYE,İNKILAP,İnkilap Büfe,41.0338049977353,29.1097770001745
377,ÜMRANİYE,ESENEVLER,Esenevler,41.011448998414,29.0906829997434
378,GAZİOSMANPAŞA,KAZIM KARABEKİR,Girne Büfe,41.0750599983943,28.9173540001719
379,EYÜPSULTAN,KARADOLAP,Karadolap 2 Büfe,41.0796519984299,28.9299769997096
380,ÜMRANİYE,IHLAMURKUYU,Bayraktar Büfe,41.0235589980431,29.1406339994597
381,ZEYTİNBURNU,SÜMER,Kubbeli Büfe,40.9884637765239,28.8986450847884
382,SANCAKTEPE,FATİH,Ortadağ Büfe,40.9588799982784,29.2144249999595
383,PENDİK,GÜZELYALI,Güzel Yalı Büfe,40.8597609981312,29.2808760001814
384,FATİH,SEYYİD ÖMER,Türbe Büfe,41.0096530944828,28.931033275367
385,EYÜPSULTAN,GÜZELTEPE,Güzeltepe Büfe,41.0775159983786,28.9571860004943
386,KÜÇÜKÇEKMECE,ATAKENT,Manolya Büfe,41.038904998216,28.7800919994533
387,EYÜPSULTAN,GÖKTÜRK MERKEZ,Göktürk Büfe,41.1772000001476,28.8894999999849
388,PENDİK,FATİH,Esenyalı Fatih Büfe,40.8668339979749,29.2990050001413
389,KÜÇÜKÇEKMECE,İSTASYON,İstasyon Büfe,41.0285262547411,28.7750018285461
390,SULTANBEYLİ,NECİP FAZIL,S.beyli Hilal,40.9394249986258,29.2801490002921
391,BAĞCILAR,100. YIL,Bağcılar 1 Büfe,41.058364998139,28.8548120004423
392,BAĞCILAR,FATİH,Malazgirt Büfe,41.0525539979685,28.8393630005081
393,PENDİK,ORHANGAZİ,Baki Büfe,40.868914998259,29.290936000326
394,BEYLİKDÜZÜ,MARMARA,Yakuplu 1 Büfe,40.9815559980818,28.6722230004921
395,BAHÇELİEVLER,CUMHURİYET,Soğanlı 1 Büfe,41.0145259979306,28.8546370004565
396,ÜMRANİYE,PARSELLER,Parseller Büfe,41.0257359979406,29.1590069995392
397,BAŞAKŞEHİR,KAYABAŞI,Kayaşehir 2 Büfe,41.1050709978993,28.754155999465
398,EYÜPSULTAN,YEŞİLPINAR,Çiçeksuyu Büfe,41.0792779979157,28.9222040001035
399,KÜÇÜKÇEKMECE,CUMHURİYET,Bereket Büfe,41.0008459982955,28.7751439997398
400,SULTANGAZİ,CUMHURİYET,Cumhuriyet,41.0883403735605,28.8796357230522
401,ÜSKÜDAR,KISIKLI,Ferah Büfe,41.0263189980875,29.0747339999171
402,FATİH,HOCAPAŞA,Sirkeci Büfe,41.015752267496,28.9763213021633
403,GAZİOSMANPAŞA,BAĞLARBAŞI,Ertuğrul Gazi Cami Büfe,41.0650259984895,28.915475000182
404,BAYRAMPAŞA,CEVATPAŞA,Cevatpaşa 1 Büfe,41.0716934049482,28.8851600040984
405,ESENYURT,AŞIK VEYSEL,Esenkent 2 Büfe,41.0625729979147,28.6719850005141
406,GAZİOSMANPAŞA,KARADENİZ,B.h.paşa 2 Büfe,41.0796059981875,28.8888039996826
407,ŞİŞLİ,YAYLA,Feriköy İski Büfe,41.0516079979665,28.9764849996976
408,GÜNGÖREN,ABDURRAHMAN NAFİZ GÜRMAN,Merter 3 Büfe,41.0084252293952,28.8870305557929
409,BAYRAMPAŞA,YILDIRIM,Yıldırım Park Büfe,41.0659093238937,28.8931000485461
410,ÜMRANİYE,TOPAĞACI,Asil Büfe,41.0506980039545,29.1068626494231
411,ÇEKMEKÖY,SULTANÇİFTLİĞİ,Taşdelen 19 Mayıs Büfe,41.0331979984237,29.2236409998075
412,SARIYER,PTT EVLERİ,Ptt Evler Büfe,41.1569731416275,29.0227103463818
413,ÜMRANİYE,İNKILAP,Vatan Büfe,41.0351694641822,29.1039874050566
414,GAZİOSMANPAŞA,KARLITEPE,Pazariçi Büfe,41.0610659986064,28.9298950004475
415,ÜSKÜDAR,KÜÇÜKSU,Hekimbaşı Çiftlik,41.0722129977551,29.0719529998676
416,ESENYURT,MEVLANA,Güzelyurt 2 Büfe,41.0153063688551,28.6557226460422
417,GAZİOSMANPAŞA,KAZIM KARABEKİR,Barış 1 Büfe,41.0837799978749,28.9122159996825
418,BAYRAMPAŞA,ALTINTEPSİ,Bayrampaşa Stad Büfe,41.0377827943046,28.9038238000323
419,ÜMRANİYE,NECİP FAZIL,Kemerdere Büfe,41.0189793113884,29.1741916460588
420,FATİH,SÜLEYMANİYE,Vezneciler Büfe,41.011038998057,28.9612820003369
421,ÜMRANİYE,ELMALIKENT,Adem Yavuz Büfe,41.0426527928731,29.0993628634761
422,ÜMRANİYE,ATATÜRK,Sultan Büfe,41.0279614790601,29.0975630267149
423,GAZİOSMANPAŞA,MEVLANA,Mevlana 2 Büfe,41.0825069978629,28.9155779995484
424,FATİH,ŞEHREMİNİ,Odabaşı Büfe,41.0123701200747,28.9311302550273
425,ÇEKMEKÖY,GÜNGÖREN,Kıbrıs Büfe,41.0293023983582,29.2231682968895
426,SARIYER,AYAZAĞA,Ayazağa 1 Büfe,41.1291279982989,28.9856809994257
427,ESENYURT,MEVLANA,İnnovya 2 Büfe,41.0162299981754,28.6565430002941
428,KÜÇÜKÇEKMECE,YARIMBURGAZ,Yarımburgaz Büfe,41.0498752187535,28.7542408313618
429,ESENYURT,GÖKEVLER,Beylikdüzü Beko Metrobüs Büfe,41.019421998443,28.6316950001755
