_id,PARK_NAME,LOCATION_NAME,PARK_TYPE_ID,PARK_TYPE_DESC,CAPACITY_OF_PARK,WORKING_TIME,COUNTY_NAME,LONGITUDE,LATITUDE
493,Yenikapı Tünel Üstü Açık Otoparkı,Yenikapı Tünel Üstü Açık Otopark,AÇIK OTOPARK,AÇIK OTOPARK,700,24 Saat,FATİH,28.9541480604320007,41.0024963152020021
494,Kadıköy Metro 2 Açık Otoparkı,Kadıköy Metro 2 Açık Otopark,AÇIK OTOPARK,AÇIK OTOPARK,100,24 Saat,KADIKÖY,29.0209376126923004,40.9890176665049992
495,Kağıthane Harmantepe Zemin Altı Otoparkı,Kağıthane Harmantepe Zemin Altı Otopark,KAPALI OTOPARK,KAPALI OTOPARK,200,24 Saat,KAĞITHANE,28.9902319255484002,41.0808491059675021
496,Esenler Menderes Parkı Zemin Altı Otoparkı,Esenler Menderes Parkı Zemin Altı Otopark,KAPALI OTOPARK,KAPALI OTOPARK,316,24 Saat,ESENLER,28.8730288299591002,41.041336432035898
497,Kayaşehir Meydan Zemin Altı Otoparkı,Kayaşehir Meydan Zemin Altı Otopark,KAPALI OTOPARK,KAPALI OTOPARK,1054,24 Saat,BAŞAKŞEHİR,-99,-99
498,Pendik Yenişehir Mustafa Akyol Sokak 3,Pendik Yenişehir Mustafa Akyol Soka,YOL ÜSTÜ,YOL ÜSTÜ,115,08:00-19:00,PENDİK,29.3075452199772997,40.9274782476241015
499,Azapkapı Haliç Metro Otoparkı,Azapkapı Haliç Metro Otopark,AÇIK OTOPARK,AÇIK OTOPARK,130,24 Saat,ŞİŞLİ,28.9692861856161983,41.0245045808553996
500,Mecidiyeköy Açık Otoparkı,Mecidiyeköy Açık Otopark,AÇIK OTOPARK,AÇIK OTOPARK,250,08:00-22:00,ŞİŞLİ,28.9972854501447017,41.065020295369699
501,Eyüpsultan Akşemsettin Mahallesi Zemin Altı Otoparkı,Eyüpsultan Akşemsettin Mahallesi Zemin Altı Otopark,KAPALI OTOPARK,KAPALI OTOPARK,110,24 Saat,EYÜP,28.9258415975184988,41.0850632353534024
502,Küçükyalı P+R,Küçükyalı P+,AÇIK OTOPARK,AÇIK OTOPARK,150,07:00-18:00,MALTEPE,29.1224876895442009,40.9499442353789007
503,Kadıköy Yekta Sokak Göztepe E 5 Yanı 2,Kadıköy Yekta Sokak Göztepe E 5 Yan,YOL ÜSTÜ,YOL ÜSTÜ,48,07:00-17:30,KADIKÖY,29.0760080437173016,40.990366080308597
504,Eyüp Silahtarağa Açık Otoparkı,Eyüp Silahtarağa Açık Otopark,AÇIK OTOPARK,AÇIK OTOPARK,350,24 Saat,EYÜP,28.9414952399063985,41.0648623184836978
505,Halkalı Caddesi 4,Halkalı Caddes,YOL ÜSTÜ,YOL ÜSTÜ,20,24 Saat,KÜÇÜKÇEKMECE,28.7975759954352988,41.0046815574756991
506,Suadiye Sahil Açık Otoparkı,Suadiye Sahil Açık  Otopark,AÇIK OTOPARK,AÇIK OTOPARK,104,24 Saat,KADIKÖY,29.0798844247311017,40.9559993823039008
507,Üsküdar Marmaray Minibüs Taksi Dolmuş Depolama Alanı,Üsküdar Marmaray Minibüs Taksi Dolmuş Depolama Alan,MİNİBÜS PARK,MİNİBÜS PARK,30,07:00-22:00,ÜSKÜDAR,29.0109457999173017,41.0257189209385018
508,Gazi Osman Paşa Zemin Altı Otoparkı,Gazi Osman Paşa Zemin Altı Otopark,KAPALI OTOPARK,KAPALI OTOPARK,231,24 Saat,GAZİOSMANPAŞA,28.8855357846905001,41.0794060220006969
509,Beykoz Sahil Cep Otoparkı,Beykoz Sahil Cep Otopark,AÇIK OTOPARK,AÇIK OTOPARK,100,08:00-00:00,BEYKOZ,29.0947677660433008,41.1294191839174985
510,Rumeli Hisarı Sahil Yolu,Rumeli Hisarı Sahil Yol,YOL ÜSTÜ,YOL ÜSTÜ,20,08:00-00:00,SARIYER,29.0568270908247008,41.0853956845786001
511,Kadıköy Kurbağalıdere Caddesi,Kurbağalıdere Caddes,YOL ÜSTÜ,YOL ÜSTÜ,38,08:00-19:00,KADIKÖY,29.0368977032110998,40.9941242630298035
512,Bakırköy Sahil Cep Otoparkı,Bakırköy Sahil Cep Otopark,YOL ÜSTÜ,YOL ÜSTÜ,40,08:00-20:00,BAKIRKÖY,28.878166379687201,40.9747865771188984
513,Beyoğlu Gazhane Bostan Sokak 1,Beyoğlu Gazhane Bostan Soka,YOL ÜSTÜ,YOL ÜSTÜ,35,08:00-19:00,BEYOĞLU,28.990100598005899,41.0388109562502024
514,Vali Konağı Caddesi 2,Şişli Vali Konağı Caddes,YOL ÜSTÜ,YOL ÜSTÜ,50,08:00-19:00,ŞİŞLİ,28.9881290395756004,41.0490102115612032
515,Vali Konağı Caddesi 3,Şişli Vali Konağı Caddes,YOL ÜSTÜ,YOL ÜSTÜ,50,08:00-19:00,ŞİŞLİ,28.9957386934589003,41.0553295330498997
516,Teşvikiye Cami 1,Şişli Teşvikiye Caddes,YOL ÜSTÜ,YOL ÜSTÜ,25,08:00-19:00,ŞİŞLİ,28.9940455551800014,41.049092346691701
517,Amerikan Hastanesi 1,Amerikan Hastanes,YOL ÜSTÜ,YOL ÜSTÜ,30,08:00-19:00,ŞİŞLİ,28.9948535895409982,41.0534362386512015
518,Maçka Caddesi 5,Şişli Maçka Caddes,YOL ÜSTÜ,YOL ÜSTÜ,50,08:00-00:00,ŞİŞLİ,28.9943077445934989,41.0467187710567032
519,Ergenekon Caddesi 1,Şişli Ergenekon Caddes,YOL ÜSTÜ,YOL ÜSTÜ,40,08:00-18:00,ŞİŞLİ,28.9833408981725995,41.0531409577011033
520,Abide-i Hürriyet Caddesi 2,Abide-i Hürriyet Caddes,YOL ÜSTÜ,YOL ÜSTÜ,30,08:00-19:00,ŞİŞLİ,28.9875766283329988,41.0634023645540012
521,Abide-i Hürriyet Caddesi 7,Abide-i Hürriyet Caddes,YOL ÜSTÜ,YOL ÜSTÜ,40,08:00-19:00,ŞİŞLİ,28.986746514947999,41.059852459639103
522,Ortaklar Caddesi 1,Mecidiyeköy Ortaklar Caddes,YOL ÜSTÜ,YOL ÜSTÜ,22,08:00-18:00,ŞİŞLİ,28.9969765624134013,41.0637431718002972
523,Müselles Sokak 1,Müselles Soka,YOL ÜSTÜ,YOL ÜSTÜ,40,07:00-17:00,ŞİŞLİ,29.0121220901558985,41.0679820267951001
524,Ortabahçe Caddesi 2,Ortabahçe Caddes,YOL ÜSTÜ,YOL ÜSTÜ,35,08:00-18:00,BEŞİKTAŞ,29.0042855532419992,41.0428391706898026
525,Prof.Dr.Ahmet Kemal Aru Caddesi 4,Prof.Dr.Ahmet Kemal Aru Caddes,YOL ÜSTÜ,YOL ÜSTÜ,40,06:45-18:00,BEŞİKTAŞ,29.0135379540576004,41.0810493592642985
526,Bosna Bulvarı 1,Ümraniye Bosna Bulvar,YOL ÜSTÜ,YOL ÜSTÜ,35,08:00-19:00,ÜMRANİYE,29.0847131609917007,41.0247992416910989
527,Selvi Sokak 1,Selvi Soka,YOL ÜSTÜ,YOL ÜSTÜ,45,08:00-18:00,BEŞİKTAŞ,29.0082733010954001,41.0862668875675965
528,Pendik Yenimahalle Yolüstü Otoparkı 4,Pendik Yenimahalle Yolüstü Otopark,YOL ÜSTÜ,YOL ÜSTÜ,50,07:00-17:00,PENDİK,29.2722747349235988,40.8642165945946019
529,Okçu Musa 2,Okçu Musa Caddes,YOL ÜSTÜ,YOL ÜSTÜ,40,08:00-18:00,BEYOĞLU,28.971710111918501,41.0265093265643017
530,Voyvoda 3,Voyvoda Caddes,YOL ÜSTÜ,YOL ÜSTÜ,20,08:00-18:00,BEYOĞLU,28.9739947639642992,41.0237861417733995
531,Karaköy Meydan,Karaköy Meyda,YOL ÜSTÜ,YOL ÜSTÜ,16,08:00-18:00,BEYOĞLU,28.9753086281979009,41.0232014282902995
532,Poyraz Yol Üstü 5,Poyraz Yol Üst,YOL ÜSTÜ,YOL ÜSTÜ,40,08:00-18:00,KADIKÖY,29.0404352967453008,40.992056580501
533,Ataşehir Bulvarı 4,Ataşehir Bulvar,YOL ÜSTÜ,YOL ÜSTÜ,25,08:00-18:00,ATAŞEHİR,29.1173448206252985,40.9924151622938027
534,Aşiyan 2,Bebek Sahil Yol,YOL ÜSTÜ,YOL ÜSTÜ,16,08:00-00:00,BEŞİKTAŞ,29.0570080224903009,41.0845829102999005
535,Çarşı Çıkışı,Bebek Arnavutköy Caddes,YOL ÜSTÜ,YOL ÜSTÜ,15,08:00-00:00,BEŞİKTAŞ,29.0427219374845009,41.067207746761099
536,İmç Önü 3,İm,YOL ÜSTÜ,YOL ÜSTÜ,27,08:30-18:30,FATİH,28.9579304410330991,41.0184300606984991
537,Sarıyer Yeni Mahalle Caddesi 1,Sarıyer Yeni Mahalle Caddes,YOL ÜSTÜ,YOL ÜSTÜ,11,08:00-18:00,SARIYER,29.0571344725735017,41.168106809492798
538,Ragıp Gümüşpala Camii Önü 1,Ragıp Gümüşpala Caddesi (Camii Önü,YOL ÜSTÜ,YOL ÜSTÜ,29,08:00-18:00,FATİH,28.9627611692393003,41.0210329467796981
539,Ragıp Gümüşpala Otobüs Parkı 2,Ragıp Gümüşpala Caddesi (Otobüs Parkı,YOL ÜSTÜ,YOL ÜSTÜ,40,07:00-18:00,FATİH,28.9648529296531017,41.0197027080730976
540,Kepenekçi Yokuşu-Odun Kapısı Yokuşu 1,Kepenekçi Yokuşu Sokak-Odun Kapısı Yokuşu Soka,YOL ÜSTÜ,YOL ÜSTÜ,30,07:00-18:00,FATİH,28.966274177889499,41.0170711100845011
541,Kazım Özalp Sokak 2,Kazım Özalp Soka,YOL ÜSTÜ,YOL ÜSTÜ,40,09:00-20:00,KADIKÖY,29.0734358893680991,40.9597530676995021
