BUSINESS_TYPE_ID,BUSINESS_TYPE_DESC,FUEL_DISTRIBUTION_COMPANY_ID,FUEL_DISTRIBUTION_COMPANY_DESC,LPG_DISTRIBUTION_COMPANY_ID,LPG_DISTRIBUTION_COMPANY_DESC,FACILITY_TYPE_ID,FACILITY_TYPE_DESC,COUNTY_UAVT_CODE,COUNTY_NAME,NEIGHBORHOOD_UAVT_CODE,NEIGHBORHOOD_NAME,LATITUDE,LONGTITUDE
1,Akaryakıt,10,Opet,-99,Bilinmiyor,1,Aktif,2014,SULTANBEYLİ,40947,TURGUT REİS,40.96122581,29.28279741
1,Akaryakıt,13,Shell-Turcas Petrol,-99,Bilinmiyor,1,Aktif,1166,BAKIRKÖY,40190,YENİMAHALLE,40.98161978,28.88431083
1,Akaryakıt,5,BP,-99,Bilinmiyor,1,Aktif,2005,BAHÇELİEVLER,40183,YENİBOSNA MERKEZ,41.01651655,28.81163703
1,Akaryakıt,5,BP,-99,Bilinmiyor,1,Aktif,1852,ÜMRANİYE,98688,CEMİL MERİÇ,41.01667932,29.14160235
2,Akaryakıt Lpg,15,Total,42,Totalgaz,1,Aktif,1622,SİLİVRİ,40935,GÜMÜŞYAKA,41.04359049,28.03589148
1,Akaryakıt,13,Shell-Turcas Petrol,-99,Bilinmiyor,1,Aktif,1886,BAYRAMPAŞA,40209,İSMET PAŞA,41.04060278,28.91167199
2,Akaryakıt Lpg,3,Aytemiz,11,Aytemiz,1,Aktif,1421,KADIKÖY,40529,KOZYATAĞI,40.96764901,29.10274261
2,Akaryakıt Lpg,10,Opet,10,Aygaz,1,Aktif,1186,BEYOĞLU,40302,KEÇECİ PİRİ,41.03833142,28.95672622
2,Akaryakıt Lpg,13,Shell-Turcas Petrol,39,Shell Gaz,1,Aktif,2055,SULTANGAZİ,40474,CEBECİ,41.10887447,28.85970541
1,Akaryakıt,10,Opet,10,Aygaz,1,Aktif,2004,BAĞCILAR,40172,FATİH,41.05473055,28.84050802
2,Akaryakıt Lpg,13,Shell-Turcas Petrol,39,Shell Gaz,1,Aktif,1823,KÜÇÜKÇEKMECE,40605,İSTASYON,41.03370432,28.76812558
2,Akaryakıt Lpg,10,Opet,10,Aygaz,1,Aktif,1449,KARTAL,40566,PETROL İŞ,40.89118955,29.17736785
2,Akaryakıt Lpg,13,Shell-Turcas Petrol,39,Shell Gaz,1,Aktif,1186,BEYOĞLU,40279,İSTİKLAL,41.04063261,28.96738729
2,Akaryakıt Lpg,15,Total,42,Totalgaz,1,Aktif,1336,GAZİOSMANPAŞA,40461,KAZIM KARABEKİR,41.06957312,28.9164633
1,Akaryakıt,13,Shell-Turcas Petrol,-99,Bilinmiyor,1,Aktif,1421,KADIKÖY,40523,BOSTANCI,40.95732295,29.09763305
1,Akaryakıt,9,LukOil,-99,Bilinmiyor,1,Aktif,1663,ŞİŞLİ,40700,HUZUR,41.10294228,28.99991812
2,Akaryakıt Lpg,9,LukOil,46,Akpet,1,Aktif,2053,ESENYURT,181504,AKŞEMSEDDİN,41.02222481,28.70110036
2,Akaryakıt Lpg,12,Petrol Ofisi,47,Pogaz,1,Aktif,2003,AVCILAR,40149,ÜNİVERSİTE,40.99051733,28.71819777
1,Akaryakıt,12,Petrol Ofisi,-99,Bilinmiyor,1,Aktif,2049,ATAŞEHİR,40531,KÜÇÜKBAKKALKÖY,40.98599295,29.10873277
1,Akaryakıt,12,Petrol Ofisi,-99,Bilinmiyor,1,Aktif,1336,GAZİOSMANPAŞA,40459,BARBAROS HAYRETTİN PAŞA,41.07864913,28.89545498
3,Lpg,-99,Bilinmiyor,45,Yurt Gaz,1,Aktif,1336,GAZİOSMANPAŞA,40460,YENİ MAHALLE,41.08082731,28.89435742
2,Akaryakıt Lpg,15,Total,-99,Bilinmiyor,1,Aktif,1166,BAKIRKÖY,40197,KARTALTEPE,40.99700685,28.87159734
2,Akaryakıt Lpg,15,Total,42,Totalgaz,1,Aktif,2004,BAĞCILAR,40170,MAHMUTBEY,41.05805477,28.83089764
2,Akaryakıt Lpg,9,LukOil,3,Akpet Gaz,1,Aktif,2049,ATAŞEHİR,40531,KÜÇÜKBAKKALKÖY,40.98103833,29.13111308
1,Akaryakıt,14,Termopet Akaryakıt,-99,Bilinmiyor,1,Aktif,1622,SİLİVRİ,191847,BEYCİLER,41.23063559,28.11426707
2,Akaryakıt Lpg,15,Total,42,Totalgaz,1,Aktif,1325,EYÜPSULTAN,40365,MERKEZ,41.05667261,28.939119
1,Akaryakıt,10,Opet,34,Petgaz,1,Aktif,1852,ÜMRANİYE,40741,YUKARI DUDULLU,41.01414594,29.16373448
2,Akaryakıt Lpg,5,BP,14,Bp Gaz,1,Aktif,2005,BAHÇELİEVLER,40184,ÇOBANÇEŞME,41.00099729,28.82271767
2,Akaryakıt Lpg,5,BP,14,Bp Gaz,1,Aktif,2053,ESENYURT,40881,ATATÜRK,41.03602095,28.6240577
2,Akaryakıt Lpg,10,Opet,10,Aygaz,1,Aktif,1782,BÜYÜKÇEKMECE,99334,ÇAKMAKLI,41.06395049,28.6219796
2,Akaryakıt Lpg,10,Opet,10,Aygaz,1,Aktif,2053,ESENYURT,40858,SAADETDERE,41.00935027,28.70135904
2,Akaryakıt Lpg,12,Petrol Ofisi,47,Pogaz,1,Aktif,1325,EYÜPSULTAN,40379,GÖKTÜRK MERKEZ,41.17927948,28.88399551
2,Akaryakıt Lpg,24,Bpet,49,Bpet,1,Aktif,1659,ŞİLE,191889,MEŞRUTİYET,41.16792395,29.56129221
1,Akaryakıt,15,Total,-99,Bilinmiyor,1,Aktif,2053,ESENYURT,40858,SAADETDERE,41.00012885,28.6951154
1,Akaryakıt,12,Petrol Ofisi,-99,Bilinmiyor,1,Aktif,1835,PENDİK,40629,FEVZİ ÇAKMAK,40.87370848,29.26604853
1,Akaryakıt,12,Petrol Ofisi,-99,Bilinmiyor,1,Aktif,1886,BAYRAMPAŞA,40207,ALTINTEPSİ,41.04267971,28.89604688
